id,name,past_xG,current_xG,,,
65,Manchester City,0.135,0.15,,,Manchester City
1044,Bournemouth,0.11,0.142,,,Liverpool
64,Liverpool,0.143,0.182,,,Chelsea
338,Leicester,0.089,0.139,,,Tottenham
73,Tottenham,0.117,0.125,,,Arsenal
68,Norwich,0.131,0.105,,,Crystal Palace
328,Burnley,0.119,0.114,,,Leicester
76,Wolverhampton Wanderers,0.09,0.094,,,West Ham
57,Arsenal,0.148,0.124,,,Everton
61,Chelsea,0.096,0.098,,,Wolverhampton Wanderers
563,West Ham,0.107,0.117,,,Manchester United
356,Sheffield United,0.135,0.106,,,Newcastle United
58,Aston Villa,0.125,0.094,,,Burnley
66,Manchester United,0.106,0.14,,,Watford
62,Everton,0.104,0.1,,,Southampton
397,Brighton,0.081,0.071,,,Bournemouth
354,Crystal Palace,0.083,0.076,,,Brighton
67,Newcastle United,0.092,0.098,,,Sheffield United
340,Southampton,0.085,0.064,,,Norwich
346,Watford,0.117,0.039,,,Aston Villa
